#timestamp tx ty tz qx qy qz qw
1556456283.133152 0.0 0.0 0.0 0.0 0.0 0.0 1.0
1556456283.23327 -3.0360517484950833e-05 -0.0004064797831233591 -7.23494122212287e-06 -1.9211682229069993e-05 3.755320358322933e-05 3.969948011217639e-06 1.0
1556456283.333364 0.00013937965559307486 -0.0009153646533377469 4.702957085100934e-05 -3.520695827319287e-05 -3.21635598083958e-05 5.563691956922412e-05 1.0
1556456283.433438 0.0001786794455256313 -0.001377152162604034 0.00038311982643790543 -3.444132016738877e-05 -0.00010870593541767448 4.762125900015235e-05 1.0
1556456283.53347 0.0002881877589970827 -0.002507155993953347 0.00017739520990289748 -3.796129749389365e-05 -2.6231640731566586e-05 4.952204108121805e-05 1.0
1556456283.633614 -0.00042450407636351883 -0.0011526603484526277 0.0004115708579774946 -5.9543839597608894e-05 -0.0001790187379810959 1.4225181075744331e-05 1.0
1556456283.733646 -0.00013930475688539445 -0.00014996810932643712 0.00024097267305478454 -4.6365508751478046e-05 -0.00014861751697026193 1.631349186936859e-05 1.0
1556456283.833756 -0.00028197065694257617 -0.000593045202549547 -0.00020496072829701006 1.5299743608920835e-05 3.532812843332067e-05 4.930216164211743e-06 1.0
1556456283.933845 -0.0004035412857774645 -0.0006957888836041093 -8.8100518041756e-05 -7.581506338283361e-07 -4.983026155969128e-05 1.4525247934216168e-05 1.0
1556456284.033928 -0.0002574007958173752 -0.001487858360633254 -0.0006937000434845686 -2.5385725166415796e-05 0.0001111176679842174 -2.2587721105082892e-05 1.0
1556456284.133999 -0.00026126380544155836 -0.0016284938901662827 -0.00020907199359498918 1.782178514986299e-05 2.644968844833784e-06 -4.25963407906238e-05 1.0
1556456284.234073 -0.00032628446933813393 -0.0009041252778843045 -0.0001743917091516778 6.531788585562026e-07 -4.627008456736803e-05 1.5067855201778002e-05 1.0
1556456284.334165 -0.00012063904432579875 -0.0010570259764790535 -0.000181481649633497 6.76437002766761e-06 -3.7645743304892676e-06 -8.09931952971965e-06 1.0
1556456284.43427 -0.00018842595454771072 -0.00016202559345401824 -0.00015740013623144478 1.8500149963074364e-06 -1.626298762857914e-05 2.6193309167865664e-05 1.0
1556456284.534337 -0.0005156364059075713 -0.000685347244143486 -9.772546945896465e-06 -1.0925252354354598e-05 -3.391160862520337e-05 -1.3057606338406913e-05 1.0
1556456284.934732 -0.000713356479536742 -0.0002635661803651601 -0.00014795086462982 -1.6469719412270933e-05 -3.724634734680876e-05 -2.054147989838384e-05 1.0
1556456285.535187 0.00039539425051771104 -0.00043277262011542916 0.00046551399282179773 1.636513786706928e-07 -1.4317809018393746e-06 2.746073187154252e-05 1.0
1556456286.135715 -0.00036687758984044194 -0.0007494812016375363 -5.947573663434014e-05 3.6643232306232676e-05 6.596435559913516e-05 -4.803613410331309e-05 1.0
1556456286.636166 4.944633838022128e-05 -8.139242709148675e-05 0.00031581305665895343 1.44132791319862e-05 4.847732270718552e-05 -9.82407891569892e-06 1.0
